User,text,Date
@socialmedia2day,Could this grow into a bigger problem for Snap? https://t.co/o65CofqViL,Fri Jul 09 23:45:02 +0000 2021
@socialmedia2day,"It's basically Cameo for TikTok stars, within TikTok https://t.co/GahgPuI6YM",Fri Jul 09 23:15:02 +0000 2021
@socialmedia2day,Insights from those who've achieved success on the platform https://t.co/WaZ1yWmUT6,Fri Jul 09 22:30:07 +0000 2021
@socialmedia2day,Another way to boost Spaces usage https://t.co/8nW9KTYHac,Fri Jul 09 21:45:03 +0000 2021
@socialmedia2day,Will this help motivate creators to keep posting? https://t.co/C6AN11jHvM,Fri Jul 09 21:15:02 +0000 2021
@socialmedia2day,TikTok has lead the download charts for all but two of the last 18 months https://t.co/MgHg0GSk4l,Fri Jul 09 20:40:01 +0000 2021
@socialmedia2day,A tough spot for Twitter https://t.co/kvS8gHuX0G,Fri Jul 09 20:15:02 +0000 2021
@socialmedia2day,This could help improve your Facebook ads approach https://t.co/87sAenNaeT,Fri Jul 09 19:45:03 +0000 2021
@socialmedia2day,A new comment control option on IG https://t.co/waBNtijCpn,Fri Jul 09 19:15:03 +0000 2021
@socialmedia2day,Some handy new prompts coming to your tweets https://t.co/czxWRAUhzo,Fri Jul 09 18:30:15 +0000 2021
@socialmedia2day,When did you last update your Google My Business profile? https://t.co/P1MDO7AqnB,Fri Jul 09 17:30:18 +0000 2021
@socialmedia2day,Women make up 60% of the marketing world https://t.co/PYmMEztgOf,Fri Jul 09 16:30:22 +0000 2021
@socialmedia2day,Digital marketing skills are in high demand https://t.co/igXLDczSJG,Fri Jul 09 15:30:27 +0000 2021
@socialmedia2day,Could be worth tuning in https://t.co/WaZ1yWEvKE,Fri Jul 09 14:30:12 +0000 2021
@socialmedia2day,@Digital38946415 There is currently no information on when it will be available.,Fri Jul 09 14:10:49 +0000 2021
@socialmedia2day,@CMIContent @AdinaJipa @SMExaminer Thank you so much! We hope you'll continue to enjoy our news 😊,Fri Jul 09 14:03:33 +0000 2021
@socialmedia2day,The first pro sports deal to specifically include Spaces content https://t.co/8nW9KTH5LC,Fri Jul 09 13:45:03 +0000 2021
@socialmedia2day,This might actually be more effective than you'd think https://t.co/C6AN11267c,Fri Jul 09 13:15:03 +0000 2021
@socialmedia2day,TikTok's rise coninues https://t.co/MgHg0GSk4l,Fri Jul 09 12:45:03 +0000 2021
@socialmedia2day,This could have major implications for Twitter https://t.co/kvS8gHuX0G,Fri Jul 09 12:15:03 +0000 2021
@socialmedia2day,A heap of tips and notes for your Facebook ads https://t.co/87sAeo4L6r,Fri Jul 09 11:45:02 +0000 2021
@socialmedia2day,"Instagram says that this will help users ""manage intense instances of harassment or abuse"" https://t.co/waBNti210N",Fri Jul 09 11:15:02 +0000 2021
@socialmedia2day,Some helpful pointers for your #emailmarketing approach https://t.co/FE13HYAEQ6,Fri Jul 09 10:30:11 +0000 2021
@socialmedia2day,Worth noting for your tweet planning https://t.co/Y4337q7hq7,Fri Jul 09 09:30:12 +0000 2021
@socialmedia2day,Could this pave the way for branded promotions on Portal? https://t.co/QD561Lllpe,Fri Jul 09 08:40:02 +0000 2021
@socialmedia2day,Interesting notes on the crossover of digital and real world fashion https://t.co/k4Q7IDa7yT,Fri Jul 09 07:30:09 +0000 2021
@socialmedia2day,Good move or unnecessary annoyance? https://t.co/r5lTPOew05,Fri Jul 09 06:30:09 +0000 2021
@socialmedia2day,"Like LinkedIn, but with a better soundtrack https://t.co/GvafDFxCTe",Fri Jul 09 05:30:07 +0000 2021
@socialmedia2day,Facebook's adding Small Business badges on some shopping posts https://t.co/j39CxiXnHB,Fri Jul 09 04:30:07 +0000 2021
@socialmedia2day,Great info from our friends at @BuzzSumo https://t.co/VMQndJ44wP,Fri Jul 09 03:30:07 +0000 2021
@socialmedia2day,Facebook continues to evolve its ad tools in line with Apple's app tracking updates https://t.co/I4HRU4BYxC,Fri Jul 09 02:30:08 +0000 2021
@socialmedia2day,This is an important area of focus https://t.co/pyhpW9Gx4K,Fri Jul 09 01:30:05 +0000 2021
@socialmedia2day,Would threads work on Facebook? https://t.co/Lggxa8Mxv4,Fri Jul 09 00:30:06 +0000 2021
@socialmedia2day,Would this be a good addition for Twitter? https://t.co/IrWT3wNyU4,Thu Jul 08 23:30:10 +0000 2021
@socialmedia2day,Ensure you're focusing in the right metrics with this overview from @salesforce https://t.co/FE13HYj3Yy,Thu Jul 08 22:30:08 +0000 2021
@socialmedia2day,Rising tweet trends of note https://t.co/Y4337pPGyz,Thu Jul 08 21:45:02 +0000 2021
@socialmedia2day,An interesting new addition to Facebook's VR tools https://t.co/QD561Lllpe,Thu Jul 08 21:15:02 +0000 2021
@socialmedia2day,AR is driving more purchase activity https://t.co/k4Q7IDa7yT,Thu Jul 08 20:40:01 +0000 2021
@socialmedia2day,A free reach boost for Fleets? https://t.co/r5lTPOew05,Thu Jul 08 20:15:02 +0000 2021
@socialmedia2day,Should you dance in your TikTok Resume clip? https://t.co/GvafDFxCTe,Thu Jul 08 19:45:04 +0000 2021
@socialmedia2day,New shopping discovery options coming to Facebook https://t.co/j39CxiXnHB,Thu Jul 08 19:15:03 +0000 2021
@socialmedia2day,@dez_blanchfield We definitely recommend brands to set up social listening practices to meaningfully engage with their audience.,Thu Jul 08 19:00:43 +0000 2021
@socialmedia2day,More people have been seeing 'Super Follow' appear as an option in their settings https://t.co/MnbuX3sk8q,Thu Jul 08 18:30:15 +0000 2021
@socialmedia2day,Tweet reactions are still in testing https://t.co/4nAdTBEiCl,Thu Jul 08 17:30:18 +0000 2021
@socialmedia2day,Did you catch this YouTube update? https://t.co/9nc1nnwCeP,Thu Jul 08 16:30:20 +0000 2021
@socialmedia2day,Organic content is key on TikTok https://t.co/BLvZk4sYNX,Thu Jul 08 15:30:20 +0000 2021
@socialmedia2day,Are you tracking the right email metrics? (via @MarkWalkerFord) https://t.co/FE13HYAEQ6,Thu Jul 08 14:30:14 +0000 2021
@socialmedia2day,"@SonalTi32182430 @inflosoindia While there are industry differences, influencer marketing has definitely been on th… https://t.co/fKoz1r2wTC",Thu Jul 08 13:46:41 +0000 2021
@socialmedia2day,Optimism is returning to tweets https://t.co/Y4337pPGyz,Thu Jul 08 13:45:03 +0000 2021
@socialmedia2day,Portal sales saw a big jump in 2020 https://t.co/QD561Lllpe,Thu Jul 08 13:15:05 +0000 2021
@socialmedia2day,Interesting new data points via @Snapchat https://t.co/k4Q7IDa7yT,Thu Jul 08 12:45:03 +0000 2021
@socialmedia2day,"For users, maybe annoying. For brands, more exposure potential https://t.co/r5lTPOew05",Thu Jul 08 12:15:03 +0000 2021
@socialmedia2day,"It doesn't make sense, but also, it makes perfects sense https://t.co/GvafDFxCTe",Thu Jul 08 11:45:02 +0000 2021
@socialmedia2day,Interesting notes on some of Facebook's coming business tools https://t.co/j39CxiXnHB,Thu Jul 08 11:15:03 +0000 2021
@socialmedia2day,Some pointers for your #videomarketing approach https://t.co/1G5krJ9ohF,Thu Jul 08 10:30:11 +0000 2021
@socialmedia2day,How do you build a video strategy? Some pointers from @Animoto https://t.co/4ef5LQTuVv,Thu Jul 08 09:30:11 +0000 2021
@socialmedia2day,"With eCommerce rising, AR is also becoming more useful https://t.co/Y4b9lGp1W6",Thu Jul 08 08:40:02 +0000 2021
@socialmedia2day,YouTube continues to add ways to reign in the comments https://t.co/zg2plaxRkD,Thu Jul 08 07:30:09 +0000 2021
@socialmedia2day,Some creators have become reliant on Spotlight payments https://t.co/o65CofqViL,Thu Jul 08 06:30:08 +0000 2021
@socialmedia2day,How much would you pay for a shoutout from your favorite TikTok star? https://t.co/GahgPuI6YM,Thu Jul 08 05:30:06 +0000 2021
@socialmedia2day,Handy pointers on Twitter's various privacy controls https://t.co/czxWRAUhzo,Thu Jul 08 04:30:06 +0000 2021
@socialmedia2day,Gaming is hugely influential on modern web culture https://t.co/JTXGFyDGGB,Thu Jul 08 02:30:03 +0000 2021
@socialmedia2day,"""88% of TikTok users said that sound is essential to the TikTok experience"" https://t.co/H7jrbSEu0P",Thu Jul 08 01:30:03 +0000 2021
@socialmedia2day,Instagram is gradually developing its new NFT display options https://t.co/pcnckbMI68,Thu Jul 08 00:30:04 +0000 2021
@socialmedia2day,Here's how people engage with video on each of the major platforms (via @breadnbeyond) https://t.co/1G5krJ9ohF,Wed Jul 07 23:30:06 +0000 2021
@socialmedia2day,Video strategy notes for each stage of the purchase journey https://t.co/4ef5LQTuVv,Wed Jul 07 22:30:07 +0000 2021
@socialmedia2day,Key AR adoption notes in Snapchat's latest research report https://t.co/Y4b9lGp1W6,Wed Jul 07 21:30:09 +0000 2021
@socialmedia2day,More comment controls coming to YouTube https://t.co/zg2plaxRkD,Wed Jul 07 20:40:02 +0000 2021
@socialmedia2day,Snapchat's Spotlight payment process has faced some challenges https://t.co/o65CofqViL,Wed Jul 07 20:15:03 +0000 2021
@socialmedia2day,Another creator monetization option in TikTok https://t.co/GahgPuI6YM,Wed Jul 07 19:45:05 +0000 2021
@socialmedia2day,These could help people better understand their tweet privacy options https://t.co/czxWRAUhzo,Wed Jul 07 19:15:06 +0000 2021
@socialmedia2day,"""75% of all business owners expect to be utilizing AR and VR technology in the next two years"" https://t.co/JJ15BiB9Yk",Wed Jul 07 18:30:15 +0000 2021
@socialmedia2day,"YouTube tips, direct from @TeamYouTube https://t.co/zudJI1XH2N",Wed Jul 07 17:30:17 +0000 2021
@socialmedia2day,A heap of helpful info in @LinkedIn's latest digital magazine https://t.co/tBCREcJyEc,Wed Jul 07 16:30:22 +0000 2021
@socialmedia2day,TikTok tips for your brand efforts https://t.co/2OzI5EzRh6,Wed Jul 07 15:30:19 +0000 2021
@socialmedia2day,Video usage and engagement stats to inform your planning (via @MarkWalkerFord) https://t.co/1G5krJ9ohF,Wed Jul 07 14:30:11 +0000 2021
@socialmedia2day,Some practical notes on establishing a video strategy from @Animoto https://t.co/4ef5LQTuVv,Wed Jul 07 13:45:03 +0000 2021
@socialmedia2day,"AR adoption is rising, which is important for brands to note https://t.co/Y4b9lGp1W6",Wed Jul 07 13:15:05 +0000 2021
@socialmedia2day,"Soon, you may be able to set rules for comments on your YouTube clips https://t.co/zg2plaxRkD",Wed Jul 07 12:45:03 +0000 2021
